,region,city,area,rooms,toilets,price,year,month
201,abruzzo, Pescara,80m²,3,1,"€ 220.000€ 285.000(-22,8%)",2023,7
202,abruzzo, Teramo,90m²,3,2,€ 120.000,2023,7
203,abruzzo, Pescara,80m²,4,3,€ 199.000,2023,7
204,abruzzo, San Giovanni Teatino,75m²,3,1,€ 135.000,2023,7
205,abruzzo, Pescara,115m²,3,1,"€ 120.000€ 130.000(-7,7%)",2023,7
206,abruzzo, L'Aquila,85m²,4,2,€ 190.000,2023,7
207,abruzzo, Pescocostanzo,75m²,4,2,€ 220.000,2023,7
208,abruzzo, Pescara,86m²,3,1,€ 95.000,2023,7
209,abruzzo, Pescocostanzo,220m²,5+,2,€ 255.000,2023,7
210,abruzzo, Pescocostanzo,38m²,2,1,€ 105.000,2023,7
211,abruzzo, Rivisondoli,70m²,5,2,€ 195.000,2023,7
212,abruzzo, Pescocostanzo,60m²,3,1,€ 185.000,2023,7
213,abruzzo, Pescocostanzo,109m²,4,1,€ 250.000,2023,7
214,abruzzo, Rivisondoli,35m²,2,1,€ 85.000,2023,7
215,abruzzo, Pescara,112m²,3,2,€ 295.000,2023,7
216,abruzzo, Pescocostanzo,65m²,3,2,€ 215.000,2023,7
217,abruzzo, Avezzano,116m²,4,2,€ 108.000,2023,7
218,abruzzo, Francavilla al Mare,493m²,5,3+,€ 830.000,2023,7
219,abruzzo, Rivisondoli,55m²,3,1,€ 118.000,2023,7
220,abruzzo, Pescocostanzo,45m²,2,1,€ 98.000,2023,7
221,abruzzo, Ortona,87m²,3,1,"€ 140.000€ 150.000(-6,7%)",2023,7
222,abruzzo, Morro d'Oro,179m²,5+,3+,€ 180.000,2023,7
223,abruzzo, Pescara,162m²,5,2,€ 147.000,2023,7
224,abruzzo, San Salvo,75m²,3,1,€ 145.000,2023,7
225,abruzzo, Pescara,300m²,5+,3,€ 745.000,2023,7
226,abruzzo, L'Aquila,93m²,3,2,€ 187.000,2023,7
227,abruzzo, Giulianova,60m²,3,1,€ 155.000,2023,7
228,abruzzo, Ovindoli,95m²,4,2,€ 139.000,2023,7
229,abruzzo, Pescara,133m²,4,2,"€ 250.000€ 285.000(-12,3%)",2023,7
230,abruzzo, Alba Adriatica,155m²,5,2,€ 235.000,2023,7
231,abruzzo, Alba Adriatica,63m²,3,1,€ 130.000,2023,7
232,abruzzo, San Salvo,122m²,4,2,€ 139.000,2023,7
233,abruzzo, Montesilvano,52m²,2,1,€ 146.800,2023,7
234,abruzzo, Montesilvano,147m²,5+,2,€ 395.400,2023,7
235,abruzzo, Pescara,90m²,4,1,€ 219.000,2023,7
236,abruzzo, Roseto degli Abruzzi,259m²,4,2,€ 270.000,2023,7
237,abruzzo, Pescocostanzo,70m²,4,1,€ 175.000,2023,7
238,abruzzo, Lanciano,116m²,3,1,€ 190.000,2023,7
239,abruzzo, Alba Adriatica,80m²,3,2,€ 135.000,2023,7
240,abruzzo, Pescara,94m²,4,1,€ 114.000,2023,7
241,abruzzo, Chieti,104m²,3,2,€ 145.000,2023,7
242,abruzzo, Montesilvano,100m²,4,2,€ 247.900,2023,7
243,abruzzo, Montesilvano,180m²,5+,3,€ 411.500,2023,7
244,abruzzo, Rocca di Mezzo,35m²,,1,€ 55.000,2023,7
245,abruzzo, Alba Adriatica,78m²,3,1,€ 145.000,2023,7
246,abruzzo, Corropoli,115m²,4,2,€ 148.000,2023,7
247,abruzzo, Pescara,110m²,4,2,€ 135.000,2023,7
248,abruzzo, Tortoreto,150m²,5,3,€ 450.000,2023,7
249,abruzzo, Chieti,89m²,5,2,€ 90.000,2023,7
250,abruzzo, L'Aquila,95m²,3,2,€ 185.000,2023,7
251,abruzzo, Chieti,93m²,3,1,€ 43.000,2023,7
252,abruzzo, Montesilvano,195m²,5,3,€ 299.000,2023,7
253,abruzzo, San Salvo,65m²,3,1,€ 149.000,2023,7
254,abruzzo, Castel di Sangro,65m²,3,2,€ 150.000,2023,7
255,abruzzo, Giulianova,140m²,5,2,€ 145.000,2023,7
256,abruzzo, Montesilvano,72m²,3,1,€ 138.000,2023,7
257,abruzzo, Pescara,150m²,4,1,€ 253.000,2023,7
258,abruzzo, Castilenti,230m²,4,2,€ 170.000,2023,7
259,abruzzo, Alba Adriatica,50m²,3,1,€ 110.000,2023,7
260,abruzzo, Gagliano Aterno,68m²,3,1,€ 45.000,2023,7
261,abruzzo, Pineto,71m²,3,1,€ 168.000,2023,7
262,abruzzo, L'Aquila,200m²,5,3+,€ 359.000,2023,7
263,abruzzo, Pescara,226m²,5+,3,€ 260.000,2023,7
264,abruzzo, Chieti,50m²,2,1,€ 95.000,2023,7
265,abruzzo, Teramo,148m²,4,3,€ 170.000,2023,7
266,abruzzo, Pescara,106m²,4,2,€ 248.000,2023,7
267,abruzzo, Teramo,170m²,5,3,€ 289.000,2023,7
268,abruzzo, Martinsicuro,83m²,2,2,€ 99.000,2023,7
269,abruzzo, L'Aquila,115m²,4,2,€ 240.000,2023,7
270,abruzzo, Lanciano,227m²,5+,3,€ 320.000,2023,7
271,abruzzo, Pineto,585m²,4,1,€ 450.000,2023,7
272,abruzzo, Chieti,101m²,3,2,€ 169.000,2023,7
273,abruzzo, Pescara,115m²,3,1,€ 170.000,2023,7
274,abruzzo, Alfedena,51m²,2,1,€ 95.000,2023,7
275,abruzzo, Pescara,98m²,5,1,€ 165.000,2023,7
276,abruzzo, Pescara,180m²,5,1,€ 149.000,2023,7
277,abruzzo, Teramo,140m²,5+,2,€ 230.000,2023,7
278,abruzzo, Pescara,75m²,3,2,€ 130.000,2023,7
279,abruzzo, Giulianova,152m²,4,2,€ 260.000,2023,7
280,abruzzo, Pescara,95m²,4,1,€ 175.000,2023,7
281,abruzzo, Pescara,91m²,3,1,€ 255.000,2023,7
282,abruzzo, Pescara,263m²,5+,3,€ 570.000,2023,7
283,abruzzo, Pescara,108m²,4,1,Prezzo su richiesta,2023,7
284,abruzzo, San Giovanni Teatino,130m²,3,2,€ 115.000,2023,7
285,abruzzo, Pescara,210m²,5+,2,Prezzo su richiesta,2023,7
286,abruzzo, Pescara,130m²,4,3,€ 250.000,2023,7
287,abruzzo, Pescara,80m²,3,1,€ 110.000,2023,7
288,abruzzo, Giulianova,250m²,5+,3,€ 150.000,2023,7
289,abruzzo, Giulianova,105m²,4,2,€ 150.000,2023,7
290,abruzzo, Pescara,91m²,4,1,€ 149.000,2023,7
291,abruzzo, San Giovanni Teatino,100m²,4,2,€ 245.000,2023,7
292,abruzzo, Pescara,157m²,4,2,€ 259.000,2023,7
293,abruzzo, San Salvo,50m²,2,1,€ 90.000,2023,7
294,abruzzo, San Salvo,127m²,5,1,€ 165.000,2023,7
295,abruzzo, Roseto degli Abruzzi,440m²,5+,3+,€ 620.000,2023,7
296,abruzzo, Montesilvano,200m²,4,3,€ 249.000,2023,7
297,abruzzo, Silvi,55m²,2,1,€ 69.000,2023,7
298,abruzzo, Caramanico Terme,120m²,4,1,€ 85.000,2023,7
299,abruzzo, Vasto,300m²,5+,3,€ 350.000,2023,7
300,abruzzo, Vasto,45m²,2,1,€ 180.000,2023,7
301,abruzzo, Roccaraso,75m²,3,1,€ 265.000,2023,7
302,abruzzo, Martinsicuro,60m²,3,1,€ 140.000,2023,7
303,abruzzo, Pescara,91m²,5,1,"da € 92.815,00",2023,7
304,abruzzo, L'Aquila,305m²,5+,3+,€ 360.000,2023,7
305,abruzzo, Pineto,60m²,2,1,€ 95.000,2023,7
306,abruzzo, Castellalto,125m²,5,2,€ 158.000,2023,7
307,abruzzo, L'Aquila,90m²,3,2,€ 269.000,2023,7
308,abruzzo, Città Sant'Angelo,200m²,5+,3,€ 175.000,2023,7
309,abruzzo, Cepagatti,116m²,4,2,€ 235.000,2023,7
310,abruzzo, Tortoreto,119m²,4,2,€ 190.000,2023,7
311,abruzzo, L'Aquila,100m²,3,1,€ 379.000,2023,7
312,abruzzo, L'Aquila,115m²,4,1,€ 135.000,2023,7
313,abruzzo, Pescara,100m²,4,1,€ 228.000,2023,7
314,abruzzo, Montesilvano,126m²,3,2,€ 181.000,2023,7
315,abruzzo, Silvi,278m²,5+,2,€ 219.000,2023,7
316,abruzzo, Avezzano,86m²,3,2,€ 160.000,2023,7
317,abruzzo, Teramo,430m²,5+,3+,€ 699.000,2023,7
318,abruzzo, Pescara,259m²,5+,3,€ 475.000,2023,7
319,abruzzo, Silvi,292m²,4,3,€ 325.000,2023,7
320,abruzzo, Città Sant'Angelo,155m²,3,2,€ 215.000,2023,7
321,abruzzo, Pescara,100m²,3,1,€ 178.000,2023,7
322,abruzzo, Pescara,104m²,3,1,€ 95.000,2023,7
323,abruzzo, Campli,63m²,3,1,€ 55.000,2023,7
324,abruzzo, Avezzano,83m²,3,1,€ 128.000,2023,7
325,abruzzo, Lanciano,84m²,3,2,€ 73.000,2023,7
326,abruzzo, Pescara,108m²,4,3,€ 217.000,2023,7
327,abruzzo, Montesilvano,157m²,5,2,"€ 198.000€ 225.000(-12,0%)",2023,7
328,abruzzo, Spoltore,103m²,3,2,€ 155.000,2023,7
329,abruzzo, Nereto,115m²,4,2,€ 138.000,2023,7
330,abruzzo, Moscufo,539m²,5+,3+,€ 490.000,2023,7
331,abruzzo, Pescasseroli,65m²,4,2,€ 89.000,2023,7
332,abruzzo, Lanciano,170m²,4,2,€ 165.000,2023,7
333,abruzzo, Rocca di Mezzo,125m²,4,2,€ 345.000,2023,7
334,abruzzo, Pescara,118m²,4,2,€ 220.000,2023,7
335,abruzzo, Oricola,1.230m²,5+,3+,€ 750.000,2023,7
336,abruzzo, Vasto,146m²,5+,3,€ 209.000,2023,7
337,abruzzo, Chieti,147m²,5+,1,€ 128.000,2023,7
338,abruzzo, Francavilla al Mare,92m²,3,1,€ 155.000,2023,7
339,abruzzo, Chieti,520m²,5+,3+,€ 580.000,2023,7
340,abruzzo, L'Aquila,80m²,3,2,€ 189.000,2023,7
341,abruzzo, Chieti,200m²,5+,2,€ 179.000,2023,7
342,abruzzo, L'Aquila,85m²,3,1,€ 108.000,2023,7
343,abruzzo, San Salvo,115m²,3,1,€ 129.000,2023,7
344,abruzzo, Ateleta,45m²,3,1,€ 49.000,2023,7
345,abruzzo, Alba Adriatica,89m²,3,1,€ 139.000,2023,7
346,abruzzo, San Salvo,280m²,5+,3,€ 250.000,2023,7
347,abruzzo, Spoltore,159m²,4,2,"€ 199.000€ 219.000(-9,1%)",2023,7
348,abruzzo, Giulianova,90m²,3,2,€ 264.000,2023,7
349,abruzzo, Alba Adriatica,74m²,3,1,€ 155.000,2023,7
350,abruzzo, L'Aquila,205m²,5+,3,€ 235.000,2023,7
351,abruzzo, Alba Adriatica,55m²,3,2,€ 159.000,2023,7
352,abruzzo, San Giovanni Teatino,58m²,3,1,€ 76.000,2023,7
353,abruzzo, Martinsicuro,83m²,3,2,€ 188.000,2023,7
354,abruzzo, Avezzano,175m²,5,3,€ 125.000,2023,7
355,abruzzo, San Giovanni Teatino,105m²,3,2,€ 123.000,2023,7
356,abruzzo, Pescara,70m²,3,1,€ 160.600,2023,7
357,abruzzo, Silvi,173m²,5,3,€ 239.000,2023,7
358,abruzzo, Silvi,63m²,3,2,€ 119.000,2023,7
359,abruzzo, Avezzano,160m²,5+,2,€ 190.000,2023,7
360,abruzzo, Pescara,200m²,5+,2,€ 179.000,2023,7
361,abruzzo, Pescara,75m²,3,2,€ 135.000,2023,7
362,abruzzo, Tortoreto,290m²,5,3,€ 690.000,2023,7
363,abruzzo, Loreto Aprutino,86m²,3,2,€ 103.000,2023,7
364,abruzzo, Città Sant'Angelo,63m²,3,1,€ 95.000,2023,7
365,abruzzo, Pescara,143m²,3,2,€ 425.000,2023,7
366,abruzzo, Pescara,75m²,2,1,€ 290.000,2023,7
367,abruzzo, Chieti,81m²,2,1,€ 50.000,2023,7
368,abruzzo, L'Aquila,80m²,3,1,€ 75.000,2023,7
369,abruzzo, Francavilla al Mare,84m²,3,2,€ 220.000,2023,7
